Step	Loss	Loss per Cell	 Change 
184	6872055296.000000	99236.890625	269.765625
185	6853487104.000000	98968.750000	268.140625
186	6835059200.000000	98702.640625	266.109375
187	6816773120.000000	98438.578125	264.062500
188	6798660096.000000	98177.015625	261.562500
189	6780665856.000000	97917.164062	259.851562
190	6762840064.000000	97659.750000	257.414062
191	6745114112.000000	97403.773438	255.976562
192	6727507456.000000	97149.523438	254.250000
193	6710026752.000000	96897.093750	252.429688
194	6692696064.000000	96646.828125	250.265625
195	6675535872.000000	96399.023438	247.804688
196	6658469376.000000	96152.570312	246.453125
197	6641509376.000000	95907.656250	244.914062
198	6624711680.000000	95665.085938	242.570312
199	6608024064.000000	95424.109375	240.976562
200	6591463424.000000	95184.960938	239.148438
201	6575021568.000000	94947.531250	237.429688
202	6558711808.000000	94712.007812	235.523438
203	6542543360.000000	94478.523438	233.484375
204	6526437888.000000	94245.953125	232.570312
205	6510486016.000000	94015.593750	230.359375
206	6494627328.000000	93786.585938	229.007812
207	6478906880.000000	93559.570312	227.015625
208	6463291904.000000	93334.085938	225.484375
209	6447811072.000000	93110.531250	223.554688
210	6432415232.000000	92888.203125	222.328125
211	6417167360.000000	92668.015625	220.187500
212	6402009088.000000	92449.117188	218.898438
213	6386961408.000000	92231.820312	217.296875
214	6372032000.000000	92016.234375	215.585938
215	6357210624.000000	91802.203125	214.031250
216	6342492160.000000	91589.656250	212.546875
217	6327881728.000000	91378.671875	210.984375
218	6313368064.000000	91169.085938	209.585938
219	6298946048.000000	90960.820312	208.265625
220	6284656128.000000	90754.468750	206.351562
221	6270438912.000000	90549.164062	205.304688
222	6256356352.000000	90345.796875	203.367188
223	6242351616.000000	90143.562500	202.234375
224	6228452352.000000	89942.851562	200.710938
225	6214652416.000000	89743.570312	199.281250
226	6200971776.000000	89546.015625	197.554688
227	6187338240.000000	89349.132812	196.882812
228	6173812224.000000	89153.812500	195.320312
229	6160389120.000000	88959.968750	193.843750
230	6147085824.000000	88767.867188	192.101562
231	6133853696.000000	88576.781250	191.085938
232	6120706560.000000	88386.929688	189.851562
233	6107656704.000000	88198.484375	188.445312
234	6094695424.000000	88011.312500	187.171875
235	6081830912.000000	87825.539062	185.773438
236	6069058048.000000	87641.093750	184.445312
237	6056387072.000000	87458.117188	182.976562
